以下、名無しにかわりましてVIPがお送りします。<><>2008/04/08(火) 18:57:05.47 ID:g7YHnCf60<>  <br> たびにん：きゅんきゅん ◆29Ga.5X//k <br>  <br> 日程  <br> 4/8　早朝関西→19:30頃新潟  <br> 4/9　朝新潟→(富山)→深夜関西  <br> 場合によっては4/10帰阪  <br>  <br> 現在　直江津にて列車待ち <br>  <>傷心ﾋﾟｻﾞが新潟へ行くようですが
以下、名無しにかわりましてVIPがお送りします。<><>2008/04/08(火) 18:57:42.26 ID:u9wqJ2wu0<> 凍死するぞ <>
以下、名無しにかわりましてVIPがお送りします。<><>2008/04/08(火) 18:58:32.51 ID:ljNbmOlQ0<> なんで新潟に行くの？ <>
以下、名無しにかわりましてVIPがお送りします。<><>2008/04/08(火) 18:58:44.07 ID:f612tt3a0<> 米しかねえぞ <>
以下、名無しにかわりましてVIPがお送りします。<><>2008/04/08(火) 19:00:42.43 ID:g7YHnCf60<> 前すれ <br> http://yutori.2ch.net/test/read.cgi/news4vip/1207580701/l50 <br>  <>
天文学者 ﾌｪﾝダー </b>◆9dvISqYoCo <b><><>2008/04/08(火) 19:02:52.90 ID:s7JSL73w0<> つ安全祈願 <>
きゅんきゅん </b>◆29Ga.5X//k <b><><>2008/04/08(火) 19:09:00.90 ID:MkOyQ+dtO<> <a href="../test/read.cgi/news4vip/1207648625/1" target="_blank">&gt;&gt;1</a>乙 <br> スレ立てありがとう！ <>
以下、名無しにかわりましてVIPがお送りします。<><>2008/04/08(火) 19:12:29.25 ID:g7YHnCf60<> <a href="../test/read.cgi/news4vip/1207648625/1" target="_blank">&gt;&gt;1</a>乙 <>
味の素<>sage<>2008/04/08(火) 19:14:11.50 ID:+P95o2Wm0 BE:791482548-2BP(1000)<> ^p^　出会い・OFFのお話をすると怖いお兄さんが来ちゃうよ。 <br> まだグレーゾーンだから、ひっそりとね。これは注意だからね <>
きゅんきゅん </b>◆29Ga.5X//k <b><><>2008/04/08(火) 19:21:11.98 ID:MkOyQ+dtO<> <a href="../test/read.cgi/news4vip/1207648625/2" target="_blank">&gt;&gt;2</a> <br> 薄着なんだが…… <>
きゅんきゅん </b>◆29Ga.5X//k <b><><>2008/04/08(火) 19:21:55.50 ID:MkOyQ+dtO<> <a href="../test/read.cgi/news4vip/1207648625/3" target="_blank">&gt;&gt;3</a> <br> 大好きな人に振られたから北へ行きたかったんだぜ <br>  <br> ちなみに相手もVIPPERな <>
きゅんきゅん </b>◆29Ga.5X//k <b><><>2008/04/08(火) 19:22:15.48 ID:MkOyQ+dtO<> <a href="../test/read.cgi/news4vip/1207648625/4" target="_blank">&gt;&gt;4</a> <br> そんなことねーだろｗ <>
きゅんきゅん </b>◆29Ga.5X//k <b><><>2008/04/08(火) 19:23:00.71 ID:MkOyQ+dtO<> <a href="../test/read.cgi/news4vip/1207648625/5" target="_blank">&gt;&gt;5</a> <br> ありがとｗ <>
きゅんきゅん </b>◆29Ga.5X//k <b><><>2008/04/08(火) 19:23:19.84 ID:MkOyQ+dtO<> <a href="../test/read.cgi/news4vip/1207648625/6" target="_blank">&gt;&gt;6</a> <br> ありがとう <br> 気を付けていってくる <>
きゅんきゅん </b>◆29Ga.5X//k <b><><>2008/04/08(火) 19:23:43.44 ID:MkOyQ+dtO<> <a href="../test/read.cgi/news4vip/1207648625/9" target="_blank">&gt;&gt;9</a> <br> 気を付けます <br> 申し訳ないorz <>
以下、名無しにかわりましてVIPがお送りします。<>sage<>2008/04/08(火) 19:25:18.06 ID:b2vzDWpS0<> がんがれ！！ <br> ﾀｼｰﾛでつかまらないように新潟までいけよ！ <br> 多分新潟でまってるぜ！１ <>
