テラウンコ </b>◆GRRPdDaVH. <b><><>2007/12/12(水) 21:16:58.09 ID:7E5j9yW50<> 夏は盛り上がりましたね <>青春18きっぷで全国をめぐる旅
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 21:21:37.96 ID:7E5j9yW50<> あげ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 21:36:38.74 ID:7E5j9yW50<> あげ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 22:02:01.87 ID:zlbttcW90<> 保守 <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 22:05:41.49 ID:zE2EqvjU0<> 旅人喪トム <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 22:06:38.73 ID:acBsrANNO<> <a href="../test/read.cgi/news4vip/1197461818/1" target="_blank">&gt;&gt;1</a> <br> 久し振りｗｗｗガンガレお！ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 22:07:17.66 ID:Gd+RYL+t0<> <a href="../test/read.cgi/news4vip/1197461818/1" target="_blank">&gt;&gt;1</a> <br> お久しぶり、冬も期待してるぞ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 22:07:35.63 ID:iUSYtyx6P<> もうそんな季節か… <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 22:10:46.31 ID:gXoe68BpO<> <a href="../test/read.cgi/news4vip/1197461818/1" target="_blank">&gt;&gt;1</a> <br> 久しぶりwwwww <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 22:10:49.86 ID:Gd+RYL+t0<> 調べてみると夏に<a href="../test/read.cgi/news4vip/1197461818/1" target="_blank">&gt;&gt;1</a>は北海道でユースホステル泊まったら青年と相部屋になっているね <br> ちなみに俺は夏に広島から長野へバスで行ってきたｗ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 22:12:04.55 ID:2QDDwP+B0<> <a href="../test/read.cgi/news4vip/1197461818/10" target="_blank">&gt;&gt;10</a> <br> 広島から長野まで下道を運転して逝った夏 <br> 死ぬかと思った <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 22:13:13.98 ID:Gd+RYL+t0<> <a href="../test/read.cgi/news4vip/1197461818/11" target="_blank">&gt;&gt;11</a> <br> 乙です <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 22:26:17.57 ID:zE2EqvjU0<> あげ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 22:38:40.70 ID:zlbttcW90<> 保守 <>
テラウンコ </b>◆GRRPdDaVH. <b><><>2007/12/12(水) 22:57:31.24 ID:7E5j9yW50<> うわぁｗｗｗｗ <br> お前ら覚えてたのかよｗｗｗｗｗ恥ずかしいじゃねーかｗｗｗｗｗ <br>  <br> 1の俺なんだが、来週末でかけるほかは帰省につかいます。 <br> 春には九州いくおｗｗｗｗｗｗｗｗｗっうぇｗｗｗｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 23:09:10.80 ID:acBsrANNO<> <a href="../test/read.cgi/news4vip/1197461818/15" target="_blank">&gt;&gt;15</a> <br> 日程kwsk！確か現住所は愛知だったよね？ <>
テラウンコ </b>◆GRRPdDaVH. <b><><>2007/12/12(水) 23:23:44.94 ID:fRJ4C0jjO<> PCにかわりまして携帯からお送りします <br>  <br> <a href="../test/read.cgi/news4vip/1197461818/16" target="_blank">&gt;&gt;16</a> <br> 実家が愛知なんだ。今は京都の北の方だ <br> 取りあえず金沢とかを日帰りでさっくり逝きたいな <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 23:24:10.04 ID:acBsrANNO<> 落ちるｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 23:26:25.78 ID:acBsrANNO<> <a href="../test/read.cgi/news4vip/1197461818/17" target="_blank">&gt;&gt;17</a> <br> そうかｗ北陸いいところ！応援してます <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 23:31:23.43 ID:Gd+RYL+t0<> <a href="../test/read.cgi/news4vip/1197461818/17" target="_blank">&gt;&gt;17</a> <br> 俺来週京都行くんだが・・ <br>  <br> もちろんバス利用の両夜行日帰りでｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 23:32:01.53 ID:fRJ4C0jjO<> <a href="../test/read.cgi/news4vip/1197461818/19" target="_blank">&gt;&gt;19</a> <br> トンクス <br> で、このスレどうする？ <br>  <br> ＜チラ裏＞ <br> 23時の東京八重洲口に、各地へ向かう高速バスが連なる。 <br> それに若者がたくさん乗り込み頻繁に出発して逝くのをみたら、十数年前までの <br> 東京や上野駅の姿が重なり、なんとも懐かしい気分になった。 <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 23:34:15.65 ID:Gd+RYL+t0<> <a href="../test/read.cgi/news4vip/1197461818/21" target="_blank">&gt;&gt;21</a> <br> とりあえず出発日はいつだい？ <br> それ次第で立てるのがベストかと <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 23:36:45.30 ID:fRJ4C0jjO<> <a href="../test/read.cgi/news4vip/1197461818/22" target="_blank">&gt;&gt;22</a> <br> おｋ、17日だ <br> 近くなったらまた立てるぜ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/12/12(水) 23:47:41.30 ID:Gd+RYL+t0<> <a href="../test/read.cgi/news4vip/1197461818/23" target="_blank">&gt;&gt;23</a> <br> 把握、期待しておく <br>  <br> 俺は21日に京都行くからタイミング合わないかもわからんねｗ <>
