以下、名無しにかわりましてVIPがお送りします。<>sage<>2007/09/17(月) 22:20:26.66 ID:Yg0VnHf+0<> このスレは旅スレを装ったネタスレのような旅スレです <br>  <br> ○まとめ <br> ttp://viptravel2007.blog105.fc2.com/　（まとめ・写真一覧） <br> ttp://tabi.shiroro.com/07/abe/　（dat・地図） <br> ○応援ミク（下は携帯用） <br> ttp://mixi.jp/view_community.pl?id=2482745 <br> ttp://m.mixi.jp/view_community.pl?id=2482745 <br> ○避難所 <br> ttp://tabi.shiroro.com/bbs/test/mread.cgi/tabi/1186121401/ <br> ○前スレ <br> ニートすぎて頭にきたから東京から沖縄まで歩いてくるわ【山口編】 <br> http://wwwww.2ch.net/test/read.cgi/news4vip/1189933324/ <br>  <br> ・蛇予告はなるべく前日までに　・「おごってやるから○○こい」は禁句 <br> ・やるなべさんが休んでる時は蛇自重ｗｗｗ（ぬこは可） <br> ・会えなくても泣かない　・逆鱗に触れても泣かない　・タイトルは日本語でおｋ <br> ・やるなべさんはあべさんです <br>  <br> 2 名前：以下、名無しにかわりましてVIPがお送りします。[] 投稿日：2007/09/16(日) 18:04:01.63 ID:vxBNyHl90 <br> テンプレ訂正 <br> ○前スレ <br> ニートすぎて頭にきたから東京から沖縄まで歩いてくるわ【山口編】 <br> http://wwwww.2ch.net/test/read.cgi/news4vip/1189768895/ <>ニートすぎて頭にきたから東京から沖縄まで歩いてくるわ【山口編】
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:20:59.40 ID:mg5w+MZ+0<> １乙。ついさっき落ちたのか？ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:22:02.06 ID:Yg0VnHf+0<> そだねー。3連休最後で流れがはやいね <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:24:00.30 ID:hfaUJkN50<> いちおつ <br>  <br> いきなり落ちてて吹いた <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:24:01.15 ID:Yg0VnHf+0<> なんかテンプレミスたｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:24:53.34 ID:9ODpz8LYO<> <a href="../test/read.cgi/news4vip/1190035226/1" target="_blank">&gt;&gt;1</a>乙！ <br> 落ちるの早くてビックリした <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:24:56.38 ID:hZSpMKHiO<> １ｦﾂ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:26:37.51 ID:OGvhi7ik0<> いちょつ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:29:58.51 ID:mg5w+MZ+0<> 前スレ何番まで？ <br>  <br> 356 名前： やるなべ ◆uMmGs86jSY 投稿日： 2007/09/17(月) 21:51:20.76 ID:Esw25spzO <br> <a href="../test/read.cgi/news4vip/1190035226/342" target="_blank">&gt;&gt;342</a>  <br> 今日は申し訳ないです…  <br> 今小郡を過ぎて、寝床を探しながら歩いてます  <br>  <br> 靴は小倉もしくは博多で履き替えまふ  <br> 雨の日にマンホゥーの上とか軽くすべる  <br> 今履いてんのは革靴じゃないから、靴は足に馴染んでくれない  <br> 逆に靴に対して足がなじむ、つまり部分的に(靴擦れを経て)皮が厚くなったりするのを待つしかなかったんだ  <br> 静岡を越えたあたりでようやく馴染んできたから、できれば九州では同じ靴を買いたい  <br>  <br> ここまで読んだんだが <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:30:58.08 ID:Yg0VnHf+0<> <a href="../test/read.cgi/news4vip/1190035226/9" target="_blank">&gt;&gt;9</a> <br> 俺が知ってるのは362までだった <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:31:28.34 ID:JvjF1N8T0<> 362でおｋ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:34:40.50 ID:9ODpz8LYO<> ょぅι″ょ支援を <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:38:21.94 ID:dy4mxyrU0<> やるなべさんと幼女・・・ <br> 間違いなく犯罪者ｗｗｗｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:44:21.87 ID:dy4mxyrU0<> どうも俺がスレストらしいｗｗｗｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:44:51.81 ID:D6InpaKvO<> <a href="../test/read.cgi/news4vip/1190035226/1" target="_blank">&gt;&gt;1</a> <br> 乙 <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:46:08.93 ID:mg5w+MZ+0<> ペニスはどこ行ったペニスは <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:47:53.81 ID:JvjF1N8T0<> <a href="../test/read.cgi/news4vip/1190035226/1" target="_blank">&gt;&gt;1</a>乙 <br>  <br> ついでに<a href="../test/read.cgi/news4vip/1190035226/14" target="_blank">&gt;&gt;14</a>乙 <>
以下、名無しにかわりましてVIPがお送りします。<>sage<>2007/09/17(月) 22:48:25.46 ID:qdk7babr0<> <a href="../test/read.cgi/news4vip/1190035226/1" target="_blank">&gt;&gt;1</a> <br> おつ <br>  <br> <a href="../test/read.cgi/news4vip/1190035226/14" target="_blank">&gt;&gt;14</a> <br> ｽﾚｽﾄ乙ｗｗｗｗｗｗｗｗｗ <br> 362 名前: 以下、名無しにかわりましてVIPがお送りします。  Mail:  投稿日: 2007/09/17(月) 22:08:36.31 ID: dy4mxyrU0  <br> 妖女だったら居そうだよなｗ <br> ベラ似の女ｗｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:50:09.20 ID:9ODpz8LYO<> <a href="../test/read.cgi/news4vip/1190035226/14" target="_blank">&gt;&gt;14</a> <br> 前スレ最後もそうだったのかｗｷﾆｽﾝﾅ <br>  <br>  <br> <a href="../test/read.cgi/news4vip/1190035226/16" target="_blank">&gt;&gt;16</a> <br> みんなでちんこ召還しようぜ！ <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:52:30.81 ID:mg5w+MZ+0<> 　 ､　　∩  <br> (　ﾟ∀ﾟ)彡　ちーんこ！ちーんこ！ 　 <br> 　⊂彡  <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:53:03.43 ID:IWJrK6mG0<> 　 ､　　∩ <br> (　ﾟ∀ﾟ)彡　ちーんこ！ちーんこ！ 　 <br> 　⊂彡 <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:54:42.76 ID:dy4mxyrU0<> 　 ､　　∩ <br> (　ﾟ∀ﾟ)彡　ちーんこ！ちーんこ！ 　 <br> 　⊂彡 <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 22:57:43.12 ID:+IFOFStb0<> 　 ､　　∩ <br> (　ﾟ∀ﾟ)彡　ちーんこ！ちーんこ！ 　 <br> 　⊂彡 <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 23:00:04.68 ID:9ODpz8LYO<> 　 ､　　∩ <br> (　ﾟ∀ﾟ)彡　ちーんこ！ちーんこ！ 　 <br> 　⊂彡 <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 23:03:06.19 ID:qdk7babr0<> 　 ､　　∩ <br> (　ﾟ∀ﾟ)彡　ちーんこ！ちーんこ！ 　 <br> 　⊂彡 <>
以下、名無しにかわりましてVIPがお送りします。<><>2007/09/17(月) 23:03:46.21 ID:sALC0A9UO<>  　 ､　　∩  <br>  (　ﾟ∀ﾟ)彡　ちーんこ！ちーんこ！ 　  <br>  　⊂彡  <>
 </b>◆2d.AlKjN5I <b><>自動保守 *<>2007/09/17(月) 23:08:42.63 ID:+IFOFStb0<> ☆ <>
