以下、VIPにかわりましてパー速民がお送りします<><>2009/07/31(金) 21:49:35.56 ID:EU.heEI0<>【前スレ】<br><br>東京から福岡までチャリでラーメン食べに行きたい<br>http://takeshima.2ch.net/test/read.cgi/news4vip/1248908675/<>【東京】ハリーのチャリで食い倒れ旅【福岡】
以下、VIPにかわりましてパー速民がお送りします<><>2009/07/31(金) 21:57:16.25 ID:64QC5n6o<>VIPでやれ<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/07/31(金) 22:00:56.33 ID:EU.heEI0<>&gt;&gt;2<br>本人が決めたことだ<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/07/31(金) 22:04:07.18 ID:MqJEwvco<>&gt;&gt;1乙<br>テンプレ作ってたら遅くなった<br>重複しなくてよかったｗｗｗｗ<br>↓<br><br>ハリー ◆isgmyqRsI6 <br>２１歳、180cm、67kg(多分)、学生<br>チャリ<br>クロスバイク<br>センチュリオンのクロスライン50<br><br>初日　東京都北区～鎌倉<br>キャラウェイでカレー大盛り完食<br>http://iup.2ch-library.com/i/i0004142-1249045273.jpg<br><br>2日目　鎌倉～沼津<br>途中　箱根峠<br>http://iup.2ch-library.com/i/i0004141-1249045206.jpg<br>魚河岸　丸天　魚河岸店　海鮮かき揚げ丼完食<br>http://iup.2ch-library.com/i/i0004143-1249045312.jpg<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/07/31(金) 22:04:37.50 ID:4967/.Uo<>どこでやろうと最後まで見届けてやんよ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/07/31(金) 22:13:52.13 ID:X79MvsDO<>&gt;&gt;1、天麩羅さん乙<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/07/31(金) 22:16:05.08 ID:EU.heEI0<>&gt;&gt;4<br>テンプレ㌧ <>
以下、VIPにかわりましてパー速民がお送りします<><>2009/07/31(金) 22:24:41.34 ID:3FoE57Uo<>テンプレ乙<br>進み早いなｗｗｗｗｗｗｗｗｗｗｗｗ<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/07/31(金) 22:32:35.53 ID:oikFb720<>もう沼津いたのか！<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/07/31(金) 22:55:13.47 ID:MqJEwvco<>ヴぃｐ非難ゴーゴーでワロタｗｗｗｗｗｗ<br>パー速は草が倍増えるんだよなｗｗｗｗｗｗ<br>保守いらずで楽チンだ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/07/31(金) 23:06:31.19 ID:EU.heEI0<>&gt;&gt;10<br>小文字の草だと倍化しないよw<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/08/01(土) 00:25:22.50 ID:7eTfJuEo<>パー速に移動か<br>こっちだと旅スレ好きな奴しかこないだろうし、まったり進行するにはいいんじゃないかな<br>とりあえず俺は最後まで楽しみにしてるぜ<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/08/01(土) 01:50:31.83 ID:1AKPX.AO<>とりあえずマタリ待つとするか～旦~<br>いちおつ旦~<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/08/01(土) 01:56:03.64 ID:wBXMzSso<>ハリーはお風呂入ってないのかな？<br>無料の露天風呂、オススメしておこう。<br>ルートに近い場所ナビできる方、教えてあげてー<br>ttp://www.asahi-net.or.jp/~ck4t-hri/roten/roten/furo.htm<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/08/01(土) 03:41:22.17 ID:PRfgycDO<>支援する(`･ω･´)<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/08/01(土) 03:45:15.64 ID:0IB.292o<>&gt;&gt;13<br>きめえｗｗｗｗｗｗ<br>とりあえず腐女しね<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/08/01(土) 05:25:47.21 ID:PRfgycDO<>いや&gt;&gt;13いただきます<>
ハリー</b> ◆isgmyqRsI6<b><><>2009/08/01(土) 05:46:12.62 ID:/wH8NEDO<>&gt;&gt;13<br>いただきます、ありがとうございます<>
ハリー</b> ◆isgmyqRsI6<b><><>2009/08/01(土) 05:52:28.15 ID:/wH8NEDO<>おはようございます<br>&gt;&gt;1スレ立てありがとうございます<br><br>昨日は柿田川公園にて野宿しました<br>耳栓のおかげで一昨日よりマシだったけど、蚊がやっぱりうざいです…<br><br>しばらくここに居たあと、近くの２４時間スーパーで休息しそこで今日の予定を決めたいと思います<br><br><br>雨が降りそうだーorz<>
