以下、VIPにかわりましてパー速民がお送りします<><>2009/06/11(木) 22:17:23.38 ID:uQTO8LM0<>前スレ <br>【自転車】ニートの俺が日本縦断【安価】 <br>http://yutori.2ch.net/test/read.cgi/news4viptasu/1244211667/ <br><>【自転車】チャリンダーが日本縦断part2【安価】
以下、VIPにかわりましてパー速民がお送りします<><>2009/06/11(木) 23:05:04.49 ID:ORTDfMAO<>こ、ここがパー速…<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/06/11(木) 23:07:07.13 ID:JSP4KUc0<>http://ex14.vip2ch.com/test/read.cgi/part4vip/1244726227/<br>↑こっちが稼動中<br><br>こちらの１さんも乙でした<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/06/18(木) 18:25:19.59 ID:7h5cmv20<>前スレ<br>【自転車】ニートの俺が日本縦断【安価】part2<br>http://ex14.vip2ch.com/test/read.cgi/part4vip/1244726227/<br><br>Vip+過去スレ(vip旅スレ倉庫に保管）<br>http://tabi.shiroro.com/09/charin/<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/06/18(木) 18:29:58.14 ID:7h5cmv20<>旅人：ﾁｬﾘﾝﾀﾞｰ　自転車：グレートジャーニー<br>２１歳　ニートなりたて<br><br>今ある資金で、安価で北を目指す<br>出発地点：東京タワー　<>
これまでの道のり１<><>2009/06/18(木) 18:33:44.49 ID:7h5cmv20<>「６月中に今ある資金で何処まで安価で行けるか試してみたいと思ってる 」<br><br>6/6　東京都（東京タワー）→→<br>17:51　スタート地点東京タワー着<br>21:35　安価により行先は群馬へ決定<br><br>6/7　→群馬県高崎<br>21:25　仮眠をとりつつほぼ走りつづけ、群馬突入→安価栃木？<br>01:17　高崎付近のネカフェ着<br><br>6/8　高崎→埼玉県行田市<br>10:18　「西」という安価を受け出発（宇都宮？）<br><br>336 名前： ローカルルール変更議論中＠VIP+ 投稿日： 2009/06/08(月) 10:41:39.32 ID:fkhWKXplO<br>宇都宮は東じゃねえか？（´・ω・） <br><br>14:20　迷子になる　花の写真をうｐ　おっちゃんに飯をおごってもらう<br>16:38　現在地が不明なまま4号目指す<br>21:06　何故か埼玉にて野宿<br><br>6/9　行田市→宇都宮<br>06:30　今度こそ宇都宮に向けて出発<br>09:01　再び迷子<br>18:15　宇都宮到着<br>21:56　スネークに確保される<br>01:52　スネークの仕事場にて就寝<br><br>6/10　宇都宮→那須塩原（？）<br>13:34　餃子を食って元気になったﾁｬﾘﾝﾀﾞｰ、安価により福島へ出発<br>15:01　スネークから長袖とカロリーメイトゲット<br>16:33　廃墟で遊ぶ<br>23:47　那須塩原近辺で郡山スネークから軍手とタオルとカロリーメイトゲット<br>02:33　立体交差の処で野宿<br><br>6/11　那須塩原（？）→福島県郡山<br>08:23　福島県郡山に向けて出発<br>16:28　郡山突入<br>21:31　郡山スネークと合流<br>00:12　快適ネカフェで気絶<br><br>6/12　郡山→仙台<br>11:16　起床　安価仙台<br>15:16　謎のカッパの像に掘られる<br>00:21　仙台市のドンキ着　どうやら寝たらしい <br><>
これまでの道のり2<>sage<>2009/06/18(木) 18:35:56.71 ID:7h5cmv20<>これまでの道のり1　&gt;&gt;6<br><br>6/13　仙台<br>05:16　ドンキ追い出されてマックへ退避　いつものメニュー<br>09:48　マックで仮眠　安価一ノ関（と北上市）<br>11:00　パンク<br>13:23　雨宿りしていたところ、過去にチャリ旅していた人と出会う<br>　　　　天気が不安定でなかなか進めず<br>00:19　仙台駅のネカフェにて就寝 <br><br>6/14　仙台→一ノ関<br>08:30　朝飯安価でファミマのチキンと牛乳 　スネークがスネークしそびれる　<br>13:16　大崎市のマックにてスネークと昼飯<br>17:49　一ノ関突入　安価達成<br>18:08　新たなスネーク、ﾁｬﾘﾝﾀﾞｰの後姿をとらえるも、接触しそこね<br>19:07　ネカフェもない一ノ関で天気は雨　キャンプ地は山の中で屋根なし<br>　　　　謎の言葉「まぁずあやん」　　ﾁｬﾘﾝﾀﾞｰどうする！？　とりあえずバナナ<br>21:28　ひとまず駅の待合室に退避<br>00:40　野宿出来そうな場所ゲット（無人駅？）<br>　　　　横になれない体勢でおやすみなさい・・・<br><br>6/15　一ノ関→盛岡<br>07:25　わらわら高校生で目が覚める 　北上市に向けて出発<br>　　　　その後、女子高生に見とれて道を間違う<br>09:49　毛越寺　午後過ぎまで（？）拝観料500円分堪能<br>16:33　北上市突入　次の行先安価　盛岡＞八戸<br>18:42　まだ時間も早めなので、盛岡まで行くことに<br>19:32　東京から500キロ地点！！！<br>01:20　自分へのご褒美風呂報告　近くのネカフェで就寝 <br><>
これまでの道のり3<>sage<>2009/06/18(木) 18:37:04.74 ID:7h5cmv20<>これまでの道のり1　&gt;&gt;6<br>これまでの道のり２ &gt;&gt;7<br><br>6/16　盛岡→二戸<br>09:11　起床　そしていつもどおりマックへ　八戸へ向かう<br>10:38　知らない旅人とすれ違いざまにハイタッチ！<br>11:59　南へ30キロの逆走　行って戻ってロス60キロ＞＜<br>12:54　ようやくスタート地点へ戻る　心が折れかけるが・・さあ再びスタート・・・<br>17:24　二戸まで40キロ地点　峠に入った模様<br>19:02　標高458ｍ　国道4号最高地点到達　暗闇とトラックに息子もgkbrしつつ走りぬけ・・<br>20:13　ようやく人里へ　金もおろせず手持ち金800円のまま野宿覚悟<br>21:08　さらにトンネルの中で携帯充電器を落として割った事が発覚　通信が途絶える危機<br>22:13　二戸在住の親切なコンビニ店員さんが、うちに泊まるかい？とお誘い　ﾁｬﾘﾝﾀﾞｰ、尻を差し出す覚悟<br>00:44　コンビニ店員は元旅人だった！というところで電池切れの報告<br>　　　　スレ住人、二人の熱い夜を心配（妄想）しつつ、この日は終了<br><br>6/17　二戸→八戸<br>12:31　八戸スネーク、仕事休みになる　ﾁｬﾘﾝﾀﾞｰ探しに出かける<br>13:51　ﾁｬﾘﾝﾀﾞｰからの通信復活　昨夜の熱い出来事の詳細　&gt;&gt;714<br>　　　　八戸へ向けて出発したところ<br>14:12　スネーク、ﾁｬﾘﾝﾀﾞｰじゃない旅人を追跡しかける　そのころﾁｬﾘﾝﾀﾞｰは雨宿り中<br>14:43　スネーク、ﾁｬﾘﾝﾀﾞｰ発見<br>15:21　スネークが人力車で日本一周してる人も発見　人力車旅も意外とメジャーらしい<br>16:55　ﾁｬﾘﾝﾀﾞｰ、田子町に入った写真をうｐ　それを見て、スレ住人が道間違いに気づく　戻ってー戻ってー！<br>18:11　行って戻って4号に帰ってきたﾁｬﾘﾝﾀﾞｰ　今度こそ八戸へ<br>20:01　八戸突入<br>20:55　スネークに確保され、うまい海の幸堪能<br>22:52　海の幸をごちそうになり、差し入れも色々もらい、北海道に向けて準備は万端か？<br>　　　　うｐした日焼けの腕がひどすぎて、スレ住人悶えたまま本日終了 <br><>
以下、VIPにかわりましてパー速民がお送りします<><>2009/06/18(木) 19:29:32.10 ID:R3HmMcg0<>まず1日に使える金額を抑えないといけない<br>1万円あるなら、1日に使える金額を500円以下にする<br>スーパーで５００円の大きな弁当を買って、それを３食に分けて食べるとかな<br>１日５００円なら、１万円で２０日間もつ。<br><br>最北端へ行くつもりなら、スネークを有効利用するしかない<br>あとネットカフェとか銭湯とか１日３０００円使うとか、<br>ぜいたくしてたら金がもたないからね。<br>どっかで警察に保護されちゃうよ！<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/06/18(木) 19:35:22.72 ID:G7KZnGMo<>&gt;&gt;9<br>現実的じゃ無さ過ぎる。<br>宿は？<br>風呂は？<br>移動中の飲み物やカロリー補給は？<br><>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/06/18(木) 19:52:32.37 ID:42h1nHY0<>宗谷岬までの情報を詳細に書いたら旅の面白み減るかな？<br>意見求むｗｗ<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/06/18(木) 20:00:37.36 ID:R3HmMcg0<>&gt;&gt;10<br>ﾁｬﾘﾝﾀﾞｰはもうお金ないんだよ<br>金が無いのに最北端行くとか、この旅自体が非現実的<>
