玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/26(日) 12:24:58.56 ID:bwzwHXw0<>【旅の概要】<br>期間：2010年9月12日～9月19日<br>ルート：東京～大阪～尾道～今治～徳島(フェリーで東京に帰還)<br><br>玉虫：男、大学生、今年3月にスノボで半月板を痛め手術<br>車種：ロードバイク(あずにゃん号)、08 Cannondale System6<br><br>【過去ログ・画像・動画集】<br>過去ログ：<br>dat版：ttp://www1.axfc.net/uploader/Sc/so/155091<br>html版：ttp://www1.axfc.net/uploader/Sc/so/155093<br><br>PASS:tamamusinyan<br>datなにそれ？な人はhtmlを落としてね！index.htmlで上から順になってるはずだから<br>※パー速のログは含みません <br><br>旅掲示板：※シロロさんありがとう！<br>ttp://tabi.shiroro.com/10/tamamushi/<br><br>画像集(＠ピカサ)：<br>ttp://picasaweb.google.co.jp/106482100541094568365/QsXwxG#<br><br>ニコニコ動画：<br>1.涼しくなったから自転車で旅行してみた～準備編～<br>ttp://www.nicovideo.jp/watch/sm12181037<br>2.涼しくなったから自転車で旅行してみた～1日目～<br>ttp://www.nicovideo.jp/watch/sm12190163<br>3.涼しくなったから自転車で旅行してみた～2日目～<br>ttp://www.nicovideo.jp/watch/sm12201381<br>4.涼しくなったから自転車で旅行してみた～3日目～<br>ttp://www.nicovideo.jp/watch/sm12225639<br><br>Youtube：※YoutubeはHD画質でうｐしてます！<br>1.涼しくなったから自転車で旅行してみた～準備編～<br>ttp://www.youtube.com/watch?v=lCbsWp7XfMg <br>2.涼しくなったから自転車で旅行してみた～1日目～<br>ttp://www.youtube.com/watch?v=ajeUHNgbNf0<br>3.涼しくなったから自転車で旅行してみた～2日目～<br>ttp://www.youtube.com/watch?v=WxdswkbTGJc<br>4.涼しくなったから自転車で旅行してみた～3日目～<br>ttp://www.youtube.com/watch?v=qanH0kUW8Fc <>【玉虫×あずにゃん】涼しくなったから自転車で旅行してみた【無事帰還】
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/26(日) 14:03:39.75 ID:2ohRZcAO<>こんにちは<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/26(日) 15:51:14.99 ID:eW4g/pMo<>&gt;&gt;2<br>こんちゃ！<>
以下、VIPにかわりましてパー速民がお送りします<><>2010/09/26(日) 19:30:09.36 ID:w4BNSAw0<>この県からこの県に行くには、これだけの道があって、<br>その間泊まる場所がここにある。<br>っていうのが分かるサイトがあれば超便利なんだけどな..<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/26(日) 22:10:04.17 ID:bwzwHXwo<>&gt;&gt;4<br>確かにそうですよね（*´д`*）<br>でも自分で紙の地図見ながら進むのも一興かなw<br>疲れてる時は便利なのが1番だけどね！<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/26(日) 23:48:37.38 ID:2ohRZcAO<>おやすみ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/27(月) 08:18:25.66 ID:kn.wu2AO<>おはよう<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2010/09/27(月) 15:49:58.27 ID:EVvt5s2o<>さてお引越しだ<br>冬ってヘルメットの下に帽子とか被るもんなの？<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/27(月) 17:48:18.18 ID:l2mDOWg0<>いつの間にか埋まってたｗｗｗｗ<br><br>&gt;&gt;8<br>んーどうなんでしょう<br>自分はヘルメ直で被ってますねｗｗ<br>タオルとかヘッドキャップとかがいいと思います！<br><br>あと動画できたからもうちょいで上げますお！<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/27(月) 19:01:15.25 ID:l2mDOWg0<>動画できまんた！<br>涼しくなったから自転車で旅行してみた～4日目～<br>http://www.nicovideo.jp/watch/sm12249399<>
玉虫</b> ◆lnWmmDoCR.<b><><>2010/09/27(月) 19:23:20.61 ID:l2mDOWg0<>こっちはようつべ版！！！<br>http://www.youtube.com/watch?v=TtZDrXbdqMQ<>
