以下、VIPにかわりましてパー速民がお送りします<><>2009/10/17(土) 09:28:54.46 ID:bBqpqEw0<>このスレは自分探してます ◆rnXkGTc6bY が自分を探す旅をするスレです<br>2009年10月15日、別府入りで九州一周完走、現在二週目に向け走行中<br><br>愛車 <br>http://imepita.jp/20091014/402820 <br>宿泊地<br>http://imepita.jp/20091014/346140<br>【多用途】避難所・雑談 5 <br>http://tabi.shiroro.com/bbs/test/read.cgi/tabi/1250324070/ <br>倉庫 <br>http://tabi.shiroro.com/09/jibun/ <br><>自転車で九州一周の旅をしているんだが（避難所）
以下、VIPにかわりましてパー速民がお送りします<><>2009/10/17(土) 09:34:29.78 ID:bBqpqEw0<>補足<br><br>愛車は玖珠市で少しバージョンアップ<br>http://imepita.jp/20091015/530480<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/10/17(土) 09:36:57.71 ID:VeADZyE0<>3get<br>自分探してます ◆rnXkGTc6bY　事故に気をつけて、2週目がんばってね <>
自分探してます<><>2009/10/17(土) 10:34:32.84 ID:BcvW7kDO<>大分３人目のスネークからの支援品<br>ロールケーキ<br>http://mup.vip2ch.com/dl?f=10249<br><br>試験的にロダを変えてみた<>
自分探してます<><>2009/10/19(月) 17:49:44.95 ID:MhAwtoDO<>vip重いな…<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/10/19(月) 19:35:30.59 ID:uoJRHbU0<>パー速もたまに重いけどな<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/10/20(火) 08:03:23.11 ID:pa2DGpI0<>次スレ誘導<br>http://yutori7.2ch.net/test/read.cgi/news4vip/1255991405/l50<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/10/20(火) 19:12:02.25 ID:QXDMoFs0<>ふむ、そろそろ一月たつが、部屋の家賃ガス水道電気代<br>とか携帯代とかいろいろと真剣に考えたほうがいいぞ？<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/10/21(水) 00:29:23.45 ID:cii2I6AO<>auアク禁だが<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/10/21(水) 00:32:36.16 ID:/F0XoQDO<>落ちた？<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/10/21(水) 01:46:41.91 ID:ubvgXpQ0<>落ちとるｗｗ<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/10/21(水) 06:41:20.78 ID:AAJWjkUo<>何故落ちたし<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/10/21(水) 07:14:53.96 ID:jMVTfvk0<>そりは本人が現れないから、保守だけではもたんよｗｗ<br>次スレ立てるけど・・旅スレはねいろいろと<br>次スレ誘導<br>http://yutori7.2ch.net/test/read.cgi/news4vip/1256076770/l50#tag1<>
