本人に代わりましてシベリア民が立てております<><>2009/12/22(火) 06:58:17.55 ID:SkZqEmg0<>２００９年１２月２１日、九州二周完走 <br>神奈川・９月発ー名古屋ー和歌山ー徳島（事故でバイク大破）ーバイク見捨てて電車・フェリーで大分 <br>大分ー宮崎間（徒歩）ー宮崎門川（自転車を貰う）ー鹿児島ー熊本ー福岡ー佐賀 <br>長崎－佐賀ー福岡ー大分（１０月１５日九州一周完走） <br>大分ー宮崎（門川町恩人に会う）ー鹿児島－熊本で体調不良の為病院検査及び静養 <br>福岡－佐賀ー長崎－佐賀ー福岡ー大分（１２月２１日二周完了）そして神奈川へ<br>避難所 <br>http://tabi.shiroro.com/bbs/test/read.cgi/tabi/1259010128/ <br>倉庫 <br>http://tabi.shiroro.com/09/jibun/ <br>自転車 <br>http://imepita.jp/20091218/471950  <br><>【神奈川へ】自転車で九州二周したんだが【帰宅編】
以下、VIPにかわりましてパー速民がお送りします<><>2009/12/22(火) 07:01:25.81 ID:SkZqEmg0<>帰宅するまでが旅、のんびり旅の安全を祈る<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/12/22(火) 07:31:41.46 ID:C1w2FVwo<>いちおつ<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/12/22(火) 08:40:50.63 ID:g/NuesDO<>いちおつです<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/12/22(火) 09:24:14.40 ID:RI2xPr.o<>乙<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/12/22(火) 09:45:49.03 ID:ufr.3YAO<>無事に帰宅したら、冷蔵庫の掃除だな<>
九州見聞録</b> ◆reZpVB1VF2<b><><>2009/12/22(火) 09:50:00.21 ID:PPjBS.DO<>おはよう新スレサンクス！<br>今日から帰宅編だけどがんばるお(´Д｀)<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/12/22(火) 09:53:22.96 ID:ufr.3YAO<>おはようｗｗ<br>いてらす～<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/12/22(火) 10:01:32.41 ID:kW4RscDO<>現在地どこら辺？<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/12/22(火) 10:07:24.42 ID:ufr.3YAO<>&gt;&gt;9<br><br>昨日別府入り、別府市内でそ<>
九州見聞録</b> ◆reZpVB1VF2<b><><>2009/12/22(火) 10:17:40.18 ID:PPjBS.DO<>&gt;&gt;9<br>今大砲ラーメンの近く(´Д｀)<>
九州見聞録</b> ◆reZpVB1VF2<b><><>2009/12/22(火) 11:01:06.00 ID:PPjBS.DO<>日出町に突入<br>http://imepita.jp/20091222/396230<br><br><br>http://imepita.jp/20091222/395670<br><>
以下、VIPにかわりましてパー速民がお送りします<><>2009/12/22(火) 11:40:07.31 ID:I5Be7sDO<>&gt;&gt;12<br>今日も気をつけてガンガレｗｗ<br>ところで、２枚目は別府タワーだよねｗｗ<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/12/22(火) 11:55:52.17 ID:ufr.3YAO<>四国ルートじゃなく<br>本州ルートか<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/12/22(火) 12:11:47.35 ID:bTsxigDO<>&gt;&gt;12<br>何て読むんだ？<br>ひのでかな？<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/12/22(火) 12:13:17.53 ID:imVmy2Io<>&gt;&gt;15<br>横からですまんが「ひじ」だったはず<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/12/22(火) 12:21:03.15 ID:I5Be7sDO<>&gt;&gt;16<br>その通りです<>
