以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/08/27(木) 19:14:24.65 ID:M.vIHYM0<>【Part 1】<br><br>東京から福岡までチャリでラーメン食べに行きたい<br>http://takeshima.2ch.net/test/read.cgi/news4vip/1248908675/<br><br><br>【Part 2】<br><br>【東京】ハリーのチャリで食い倒れ旅【福岡】<br>http://ex14.vip2ch.com/part4vip/kako/1249/12490/1249044575.html<br><br><br>【Part 3】<br><br>【東京】ハリーのチャリで食い倒れ旅2　関西編　【福岡】<br>http://ex14.vip2ch.com/part4vip/kako/1249/12493/1249372567.html<br><br><br>【Part 4】<br>【東京】ハリーのチャリで食い倒れ旅３ 山陽編【福岡】<br>http://ex14.vip2ch.com/part4vip/kako/1249/12497/1249714703.html<br><br><br>【前スレ】<br>【福岡】ハリーとツレのチャリで珍道中の旅・九州/山陰編【東京】<br>http://ex14.vip2ch.com/test/read.cgi/part4vip/1250270150/<br><br><br>【スペック】<br>ハリー ◆isgmyqRsI6　　　　　　　　　　　ゴロー<br>21歳、180cm、67kg(多分)、学生　　　　　　21歳（多分）<br>チャリ：CENTURION CROSSLINE50　          チャリ：GIANT GREATJOURNEY　<br><br>※ゴローちゃんは書き込みはしないよー<br><br><br>【装備品】<br>テント、寝袋、マット、携帯充電器など諸々<>【福岡】ハリーとゴローのチャリで帰ろうの旅・山陰/関西編【東京】
以下、VIPにかわりましてパー速民がお送りします<><>2009/08/28(金) 03:28:43.48 ID:uBZLxGs0<>979 ：以下、VIPにかわりましてパー速民がお送りします ：2009/08/28(金) 02:51:53.08 ID:uBZLxGs0<br>    鳥取大食い情報<br>    ※ちょっと古いかも…だから電話して確認してね<br><br>    羽合町の　（東伯郡湯梨浜町）中華レストラン悟空<br>    中華料理の飲茶ショウロ－ポ を40分で50個食べたらタダ<br>    中華レストラン悟空 姉妹店　北栄町のラーメン柔は餃子の大食いしてる<br>    住所 鳥取県東伯郡湯梨浜町久留１１-２<br>    電話番号 0858-35-4705<br>    営　業　午前１１時～午後３時、午後５時～９時３０分<br>    定休日　木曜日<br>    地図：http://imepita.jp/20090828/101200<br>980 ：以下、VIPにかわりましてパー速民がお送りします ：2009/08/28(金) 03:00:40.55 ID:uBZLxGs0<br>    鳥取デカ盛り情報１<br><br>    洋風レストラン　　Ｂｅｌｉｅｖｅ（ビリーブ）<br>    営業時間　朝９：００～２１：００<br>    定休日　　水曜日<br>    ＴＥＬ　　0857-31-4936<br>    場所　鳥取市湖山北１丁目４１９<br>    地図：http://imepita.jp/20090828/108040<br><br>    ※Believeのなかでお薦めなのが[パワフルカレー]。あれだけのボリュームで手ごろな値段。普通の店の量では満足できないという人に特にお薦めです。<br>    また,甘いものが好きな人にお薦めなのが「パワフルパフェ」。<br>    これもまた,ボリュームがありその量にしては値段も安い。味も悪くはありません。<br>    鳥取大学に近いこともあり、学生が多く利用しています。<br>    とりあえず、一度行ってみることをお薦めします。<br>981 ：以下、VIPにかわりましてパー速民がお送りします ：2009/08/28(金) 03:14:48.62 ID:uBZLxGs0<br>    鳥取デカ盛り情報２<br><br>    wikiにも載ってる有名デカ盛り店『べるしい』<br>    住所：鳥取市緑ヶ丘1-11-11<br>    TEL：0857-27-4536<br>    営業時間：11：00～21：30<br>    定休日：月1回不定休<br>    地図：http://imepita.jp/20090828/115460<br>    メニュー例：http://imepita.jp/20090828/116190<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/08/28(金) 09:12:38.12 ID:V3tH/ADO<>ちょｗｗｗｗｗｗ&gt;&gt;1000ｗｗｗｗｗｗ<>
ハリー</b> ◆isgmyqRsI6<b><><>2009/08/28(金) 09:34:36.77 ID:jQnvpEDO<>前スレ&gt;&gt;1000<br>だが断る<br><br>今は大山の豊成あたりです<>
ハリー</b> ◆isgmyqRsI6<b><><>2009/08/28(金) 09:35:50.04 ID:jQnvpEDO<>あ、マシントラブルは来そうな気がするだけでまだ来てないです<br>わかりづらくてすみません<>
ハリー</b> ◆isgmyqRsI6<b><><>2009/08/28(金) 09:45:04.52 ID:jQnvpEDO<>地図確認したら小籠包のお店通るのちょうど昼時だった！<br><br>あとで電話してやってたら行こうかなｗｗｗｗｗｗ<>
ハリー</b> ◆isgmyqRsI6<b><><>2009/08/28(金) 09:52:08.87 ID:jQnvpEDO<>雨あがった！(ﾟ∀ﾟ)<br>休憩おわり、出発！<>
ハリー</b> ◆isgmyqRsI6<b><><>2009/08/28(金) 10:41:16.32 ID:jQnvpEDO<>ポート赤碕にて小休憩ー<>
ハリー</b> ◆isgmyqRsI6<b><><>2009/08/28(金) 10:48:08.86 ID:jQnvpEDO<>小籠包電話したら夏休みだからやってないって…(´；ω；｀)ﾌﾞﾜｯ<br><br>悔しいから鳥取でがっつり食べてやる…！！<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/08/28(金) 10:55:36.71 ID:VlN/ve2o<>小籠包は大量に食べるには熱くて大変そうだしなー<br>口内粘膜的に考えて<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/08/28(金) 10:56:19.90 ID:3M9Ts6DO<>あらら、残念。<br>白兎海岸でぴょんぴょん跳んで来て～<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/08/28(金) 11:01:16.29 ID:O6eYdds0<>ハリー、ゴローおはよう！<br>雨で大変だろうけど休み休みガンガレー<>
ハリー</b> ◆isgmyqRsI6<b><><>2009/08/28(金) 11:02:33.40 ID:jQnvpEDO<>&gt;&gt;10<br>だから最初穴を開けるか二つにわけるかとか作戦考えてたのにー！！<br><br>頑張って鳥取行きます<br>ゴローちゃんが休みたいみたいなので鳥取に、素泊まり３０００円くらいの安宿か、シャワー有りのマン喫って無いですかね<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/08/28(金) 11:23:21.09 ID:3M9Ts6DO<>&gt;&gt;13<br>セミダブルでもいいか？ｗｗｗｗｗｗｗｗ<>
ハリー</b> ◆isgmyqRsI6<b><><>2009/08/28(金) 11:29:27.43 ID:jQnvpEDO<>あ、Ｈマンは今日もテントです<br>なので泊まるのはゴローちゃんだけです<>
ハリー</b> ◆isgmyqRsI6<b><><>2009/08/28(金) 11:38:57.33 ID:jQnvpEDO<>鳥取まで５０km切った！<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/08/28(金) 11:45:04.29 ID:O6eYdds0<>ビジネスイン河越　一泊４，０００円<br>住所：〒680-0821<br>    　鳥取県鳥取市瓦町605 <br>TEL：0857-22-3259<br>チェックイン：16:00 <br>チェックアウト：10:00<br>交通アクセス：ＪＲ　鳥取駅より徒歩６分<br>地図：http://imepita.jp/20090828/422650<>
