おりをん</b> ◆k9QqUCYT3w<b><><>2009/08/08(土) 20:04:24.76 ID:2ec2VYAO<>お願いします。<>ちょっくらチャリで日本縦断してくる
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/08/08(土) 20:05:37.98 ID:Tg17CLco<>すれたて乙！<br><>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/08/08(土) 20:07:25.14 ID:Tg17CLco<>ココを本スレにするんですか？<br>&gt;&gt;1<>
おりをん</b> ◆k9QqUCYT3w<b><><>2009/08/08(土) 20:09:53.58 ID:2ec2VYAO<>まずはお詫びを。<br>1日空いてしまい、すいませんでした。スレを立ててくれた方も全然書き込みできなくてすいませんでした。<br>今はにいます。そして近所にあるチャリダーが泊まる公演があるらしいんでそこに泊まる予定<br>今から風呂入ってくるんであとでまたレスします！！<>
おりをん</b> ◆k9QqUCYT3w<b><><>2009/08/08(土) 20:11:16.51 ID:2ec2VYAO<>ミス・・・現在地滝川<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/08/08(土) 20:13:55.56 ID:Tg17CLco<>テンプレ<br><br>スペック<br>22男の子<br>dt<br>174 55<br>相方もいるよ<br><br>宗谷岬から鹿児島の佐多岬まで目指すよ<br>長くなるけど良かったら付き合ってね<br><br>[77] 以下、名無しにかわりましてVIPがお送りします：2009/08/06(木) 10:50:31.01 ID:yqlobn8gO<br>名前安価しようぜ<br><br>[79] 以下、名無しにかわりましてVIPがお送りします：2009/08/06(木) 10:56:51.60 ID:RIeK9N3zO<br>んじゃ名前安価するよー！<br><br>俺&gt;&gt;82<br>相棒&gt;&gt;84 <br><br>[82] 以下、名無しにかわりましてVIPがお送りします：2009/08/06(木) 11:26:19.51 ID:xXVXeD6BO<br>おりをん <br><br>[84] 以下、名無しにかわりましてVIPがお送りします：2009/08/06(木) 11:27:11.95 ID:HUsZCbWW0<br>22♀処女です <br><br>[103] おりをん ◆k9QqUCYT3w ：2009/08/06(木) 12:17:04.02 ID:RIeK9N3zO<br>106号やべぇ・・・<br><br>&gt;&gt;97<br>すまんね、コテなれてないんだ<br><br>&gt;&gt;102<br>相棒はレスしないって <br><>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/08/08(土) 20:14:44.20 ID:FJO5Je2o<>乙かれっす<br>まだまだ先は長いから気軽にいこーぜ<br><>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/08/08(土) 20:15:35.33 ID:Tg17CLco<>テンプレ2<br><br>出発前おりをん<br>http://imepita.jp/20090806/276590<br><br>チャリグレートジャーニー2<br>http://imepita.jp/20090806/380300<br><br>処女<br>http://imepita.jp/20090806/293380<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/08/08(土) 20:18:02.13 ID:77OovZYo<>処女　首がねぇぇ<>
おりをん</b> ◆k9QqUCYT3w<b><><>2009/08/08(土) 20:54:13.27 ID:2ec2VYAO<>さっぱりしたー。相変わらずヒリヒリ<br><br>&gt;&gt;3<br>vipでやりたいって思ってるから避難所として使おうかなと思ってる。<br>けど今日みたいな事がまた起きたら、こっちをメインでやるよ。<br>●持ってるから、スレはたてられるんだ。だから就寝前に翌日の出発時間を書いて、その時間にスレをたてようかなって。<br>今日みたいなヘマしないように気を付けます<>
おりをん</b> ◆k9QqUCYT3w<b><><>2009/08/08(土) 20:56:12.81 ID:2ec2VYAO<>さっぱりしたー。相変わらずヒリヒリ<br><br>&gt;&gt;3<br>vipでやりたいって思ってるから避難所として使おうかなと思ってる。<br>けど今日みたいな事がまた起きたら、こっちをメインでやるよ。<br>●持ってるから、スレはたてられるんだ。だから就寝前に翌日の出発時間を書いて、その時間にスレをたてようかなって。<br>今日みたいなヘマしないように気を付けます<>
おりをん</b> ◆k9QqUCYT3w<b><><>2009/08/08(土) 21:15:57.62 ID:2ec2VYAO<>連投げめんなさい<>
以下、VIPにかわりましてパー速民がお送りします<>sage<>2009/08/08(土) 21:16:07.30 ID:FJO5Je2o<>のりP出頭でまたVIP落ちたから<br>VIPにたてなくてよかったぞｗｗ<>
以下、VIPにかわりましてパー速民がお送りします<><>2009/08/08(土) 21:41:28.72 ID:LlKdjhMo<>&gt;&gt;10<br>ok　本スレは絶対vipでやってくれ<br>最近の旅スレははちょっとゴタゴタがあると皆パー速に逃げてしまい情けない奴ばかり。<>
おりをん</b> ◆k9QqUCYT3w<b><><>2009/08/08(土) 22:57:36.16 ID:2ec2VYAO<>コインランドリーで洗濯したりしてやっと今寝床をセットしたよ。<br>今日は110km走ったそうな(処女のサイクルコンピュータより<br>明日は自転車の点検、備品の調達で11時くらいに出発するよ。<br>そんときスレ立てるから、よろしくお願いします！！<br>おやすみなさい<>
