以下、名無しにかわりましてVIPがお送りします<>sage<>2009/02/24(火) 23:09:32.21 ID:c3SRi2DD0<> このスレは、おかずのり ◆M1T5uxDOMwがVIPでｋｓｋされた結果購入した  <br> 713本のうまい棒を全国のVIPPERに配るために全国行脚するスレです。  <br>  <br> おかずのり◆M1T5uxDOMwのスペック  <br> 身長　174cm  <br> 年齢　23～26歳  <br> 車種　日産ラシーン  <br> 職業　おいおい、Vipに職業？愚問だな。  <br>  <br> ルール  <br> 車で移動する  <br> 移動するときは安価をして決める（再安価でも泣かない！  <br> 移動候補はおかずのりが指定した県のみ(基本的には隣県＋おかずのり指定)（New！！  <br> 安価をとったらその県の人がエントリーしてうまい棒をうけとる  <br> 渡すうまい棒は1人一本  <br> うまい棒を受け取った人はおかずのりが用意する紙に一言書く  <br> 福島は最後  <br> オナニー禁止(おかずのりのみ)  <br> おかずのりの資金がつきるまで旅を続け資金が持たなくなったら誰かに託す  <br> お金・年齢に関する話題は禁止（ただし，必要な出費に関しては例外）  <br> ルート、場所、日時等のkwskは避難所で！  <br>  <br> まとめwiki  <br> http://www19.atwiki.jp/47umatabi/  <br> 避難所(パー速)  <br> http://ex14.vip2ch.com/test/read.cgi/part4vip/1234458064/  <br> いいか避難所とvip使い分けろよ  <br>  <br> ★2月5日～16日に受取りの人はNO照合作業に協力して下さい★  <br> http://www19.atwiki.jp/47umatabi/pages/77.html  <>おかずのりがうまい棒届けるみたいやで～京都・三重編～
以下、名無しにかわりましてVIPがお送りします<>sage<>2009/02/24(火) 23:11:36.34 ID:c3SRi2DD0<> エントリー用テンプレ  <br> ※重要※『18歳未満または高校生以下の方は、夜21時～朝6時の間の受け取りはご遠慮ください』  <br> ※重要※『18歳未満または高校生以下の方は、夜21時～朝6時の間の受け取りはご遠慮ください』  <br> 【住んでる地域】  <br> 【受取りたい場所】（お店なら店名、駅なら北口、南口などできるだけ詳しく）  <br> 【OKな時間】（○○時～○○時のように具体的に、日によって違う場合はそれも）  <br> ●待ち合わせ場所は可能なら無料駐車場のある場所、駐車スペースが確保できる場所で。  <br> ●携帯のナビで行くから出来るだけ詳細に！  <br> ●日付指定より時間指定のほうがごうりゅーしやすい。  <br>  <br> エントリー方法は上のテンプレを避難所  <br> 【うまい棒】おかずのりの一世一代がんばり物語5  <br> http://ex14.vip2ch.com/test/read.cgi/part4vip/1234458064/  <br> にコテ酉をつけた上で投下して。  <br> テンプレと避難所の1－7あたり必読しる。ここと避難所のチッェク欠かすなよ。  <br> お届け近くなったら確認の為、呼出しがあるかもしれん。反応無かったらスルーされてもしらんよ。  <br>  <br> ●テンプレを避難所に投下する際、コテ酉をつけてカキコ願います（ID変わると誰だかわからないため）  <br> ●コテ酉には「＠地名」を入れることを推奨します。  <br> ●また，念のため酉をつけたら検索にかけてみましょう。  <br> ●アルファベットのみ，数字のみ，ひらがなのみなどの酉はバレやすいので  <br> 　混合させて使用することを推奨します。  <br> ●受け取りが遠い人は、その後コテ酉をはずしてください。  <br>  <br> ○○○＠地名#×××××  <br> ↑　↑　↑　↑　↑  <br> 　コテ　　地名　トリップ  <br> ※重要※ # は小文字です  <br>  <br> 例　テスト＠福島#test → テスト＠福島 ◆.CzKQna1OU <>
以下、名無しにかわりましてVIPがお送りします<>sage<>2009/02/24(火) 23:12:49.75 ID:c3SRi2DD0<> 前スレ  <br> おかずのりがうまい棒をどどけるんや～岐阜･福井編～  <br> http://takeshima.2ch.net/test/read.cgi/news4vip/1235057824/  <br>  <br> 過去ログはwiki参照  <br> http://www19.atwiki.jp/47umatabi/  <br>  <br> ※次スレは、<a href="../test/read.cgi/news4vip/1235484572/950" target="_blank">&gt;&gt;950</a>が立てること。出来ない場合は他の人が宣言してから立ててください。  <br> ↓  <br> ※スレタイは、おかずのりがうまい棒を届けるようです～今の県名･次の県名編～で  <br> ※同一スレタイになってもパート数字は入れてはいけません。  <br>  <br> ※おかずのりからのお言葉※  <br> 支援物資はあくまで気持ちです。  <br> 一番の支援は画面のあなたたちがもらってくれることなので支援物資ないから貰いにいけないorzなどということはありません。  <br> あと、キモオタだからいけないorz とか口下手だからいけないorzなどと言う人。  <br> 大丈夫、こんなアホなことを大真面目にやってる俺がはたからみたら一番キモいです。  <br> 口下手な人は受け取る前に書いていただけばこちらも配慮しますよ。  <br>  <br> 正直支援物資で車の中が圧迫されています。  <br> ラシーンってけっこう小さいです。  <br> うまい棒+私物でいっぱいいっぱいなんで出来れば手ぶらかわらしべのみで来てくれると嬉しいです  <br> 食べ物系と栄養ドリンク、カロリーメイドはけっこうお腹いっぱいです  <br> わがままいって申し訳ない。  <br> 善意で支援してくださってるのはありがたいのですがそろそろ寝れなくなりそうで…  <>
以下、名無しにかわりましてVIPがお送りします<>sage<>2009/02/24(火) 23:14:03.77 ID:c3SRi2DD0<> よくある質問Ｑ＆Ａ  <br> Ｑ：今どこですか？  <br> Ａ：本人以外分かりません(移動中はレス出来ません)。  <br>  <br> Ｑ：何時頃つきますか？  <br> Ａ：地元民のあなたがスレ見て判断した方がいいです(迷子の可能性は入れてね)。  <br>  <br> Ｑ：次はどこですか？  <br> Ａ：県内なら避難所でルート確認してください。県外のなら、この後の安価次第です。  <br>  <br> Ｑ：何支援しよう？  <br> Ａ：何もいりません。うまい棒もらって下さい。あえて言うなら「ケツの穴は洗っとけ！」  <br>  <br> Ｑ：わらしべって何？  <br> Ａ：前のお届け人から、おかずのりが受け取ったものを次の人に渡すだけ。  <br> 　　参加したい人だけどうぞ。そんなに気にしなくていいです。  <br>  <br> Ｑ：おかずのり寝た？  <br> Ａ：たぶん寝落ちしてます。  <br>  <br> Ｑ：雑談しちゃいけないかな？  <br> Ａ：ＶＩＰで雑談しなくて何するの？カオスでＯＫ。避難所での雑談は控えてください。  <br>  <br> Ｑ：おかずのりは、お酒飲める？  <br> Ａ：飲めるかもしれませんが、車移動ですので無理。  <br>  <br> Ｑ：オフ会しませんか？  <br> Ａ：こちらでは、今後一切そのような発言はご遠慮下さい。オフスレで勝手にどうぞ。  <>
以下、名無しにかわりましてVIPがお送りします<><>2009/02/24(火) 23:15:42.20 ID:9bsGje37O<> 【うまい棒お届けエントリー受付のお知らせ】 <br> エントリー受付中は、下記の両府県です。 <br> ☆次のお届け <br> 　京都 <br> ☆京都の次のお届け <br> 　三重 <br> うまい棒欲しい方は、<a href="../test/read.cgi/news4vip/1235484572/2" target="_blank">&gt;&gt;2</a>をご覧下さい。 <br> お早めにエントリーすれば、お届けルート検討の際に最大限考慮されると思います。 <br> ただいまおかずのりは、小浜市付近におります。 <br> 分からない点等ありましたら、ここでお気軽にお尋ね下さい。 <br>  <br> おかずのりが無事、日本全国の皆様にお届けにあがれますようご協力願いします。 <>
以下、名無しにかわりましてVIPがお送りします<><>2009/02/24(火) 23:16:07.77 ID:AXYPrcBT0<> <a href="../test/read.cgi/news4vip/1235484572/1" target="_blank">&gt;&gt;1</a>乙！ <br>  <br> 前スレ <br> おかずのりがうまい棒を届けるでおじゃる～京都・関西入り編 <br> http://takeshima.2ch.net/test/read.cgi/news4vip/1235397077/ <br>  <>
以下、名無しにかわりましてVIPがお送りします<><>2009/02/24(火) 23:17:01.58 ID:ag3AETTIO<> いや～まさかあのおかずのりがここまでがんばるとは・・・ <br> 東北から愛を込めて <>
以下、名無しにかわりましてVIPがお送りします<><>2009/02/24(火) 23:17:53.40 ID:v13lqIcd0<> 　　○○○ <br> 　　○ ･ω･ ○　がおー <br> 　　　○○○ <br> 　　.c(,_ｕｕﾉ <br>  <br> 　　　　　　　　　　　　　　○。　　○ <br> 　　　　ミﾊｯｸｼｭ　　　○　　　　ｏ　　　○ <br> 　　　 ミ　｀д´∵°　。　ｏ　○ <br> 　　.c(,_ｕｕﾉ 　○　○　　　○ <br>  <br>  <br> 　　　　　　　　　　　　　○○○○ <br> 　 　　∧∧　　　　　　　　　　○ <br> 　 　 ( ･ω･)　 <a href="../test/read.cgi/news4vip/1235484572/1" target="_blank">&gt;&gt;1</a> 　.　　○　　○ <br> 　　.c(,_ｕｕﾉ 　　　　　　○○○○ <br>  <>
以下、名無しにかわりましてVIPがお送りします<><>2009/02/24(火) 23:21:12.82 ID:c3SRi2DD0<> <a href="../test/read.cgi/news4vip/1235484572/5" target="_blank">&gt;&gt;5</a> <br> <a href="../test/read.cgi/news4vip/1235484572/6" target="_blank">&gt;&gt;6</a> <br> 支援さんくす <>
以下、名無しにかわりましてVIPがお送りします<><>2009/02/24(火) 23:21:48.30 ID:+KPBVtrIO<> <a href="../test/read.cgi/news4vip/1235484572/1" target="_blank">&gt;&gt;1</a>おつ　 <br>  <br> 前スレ<a href="../test/read.cgi/news4vip/1235484572/1000" target="_blank">&gt;&gt;1000</a>ｗｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2009/02/24(火) 23:22:15.67 ID:ub3rHTFrP<> <a href="../test/read.cgi/news4vip/1235484572/1" target="_blank">&gt;&gt;1</a>おつ <br>  <br> 　(´･ω･) <br> 　//＼￣￣□＼ <br> -(/※ ＼＿＿＿＼ <br> ＼＼ ※ ※ ※ ※ヽ <br> 　＼`ー―――――ヽ <br> 　　￣￣￣￣￣￣￣ <>
以下、名無しにかわりましてVIPがお送りします<><>2009/02/24(火) 23:22:34.37 ID:uOxhE3NhO<> <a href="../test/read.cgi/news4vip/1235484572/1" target="_blank">&gt;&gt;1</a>乙です <>
