1<>ザウルス応援団<>sage<>2007/12/30(日) 02:09:09<>前すれ<br>東京から自転車で沖縄まで行ってこようと思う　後日談<br>http://jbbs.livedoor.jp/bbs/read.cgi/auto/5394/1190792488/<br><br>ご自由にお使いください。<>【旅行から】雑談スレッド【実況まで】<>XDXKJ.6A0
2<>ザウルス応援団<>sage<>2007/12/30(日) 02:09:20<>２げっと<><>7KZhqe4U0
3<>ザウルス応援団<>sage<>2007/12/30(日) 02:09:59<>ここか<><>QPcq7I1Y0
4<>ザウルス応援団<>sage<>2007/12/30(日) 02:10:01<>ここー？<><>HkGvnsYs0
5<>ザウルス応援団<>sage<>2007/12/30(日) 02:10:09<>どせいが実際ザウルスとよく顔が似ていることは<br><br>良くわかった。<><>4OO.VuGQ0
6<>ザウルス応援団<>sage<>2007/12/30(日) 02:10:36<>高校の時からかー<br><br>このスレ終わるまでと聞いて<><>Ws2a51ik0
7<>ザウルス応援団<>sage<>2007/12/30(日) 02:11:25<>腹へってんのか？もっと食わせてもらえｗｗｗ<><>HkGvnsYs0
8<>ザウルス応援団<>sage<>2007/12/30(日) 02:11:39<>ﾒｶﾞﾈのフレームの形が似てるから<br>顔も似てるように見えやすいかもな<><>4OO.VuGQ0
9<>ザウルス応援団<>sage<>2007/12/30(日) 02:12:32<>おｋ切れた<br><br>乙ー<><>yp6R92Jk0
10<>ザウルス応援団<>sage<>2007/12/30(日) 02:12:43<>お疲れしたーー<><>4OO.VuGQ0
11<>ザウルス応援団<><>2007/12/30(日) 02:12:43<>お、切れた<br>乙〜<><>C9FXoB6.0
12<>ザウルス応援団<>sage<>2007/12/30(日) 02:12:55<>乙っした<><>HkGvnsYs0
13<>ザウルス応援団<>sage<>2007/12/30(日) 02:13:15<>おつー<><>SGaa85Nc0
14<>ザウルス応援団<>sage<>2007/12/30(日) 02:14:51<>おつー<><>QPcq7I1Y0
15<>ザウルス応援団<>sage<>2007/12/30(日) 02:15:08<>乙<><>7KZhqe4U0
16<><font color=#FF0000>金玉ザウルス★</font><><>2007/12/30(日) 02:16:08<>大変楽しいお鍋だったぜ！<br>お付き合いくださったリスナーさんありがとうございます。<br>ちょっとだけ旅スレの片鱗たるものが垣間見えたのではないでしょうか！？<br><br>さぁここからは楽しいウホタイムだよ！<><>???0
17<>ザウルス応援団<><>2007/12/30(日) 02:24:01<>乙津<><>EXeYpqu60
18<>ザウルス応援団<><>2007/12/31(月) 14:22:08<>そういえば・・塩のオセチ作りライブって終わったの？<><>K/2d83FM0
19<>ザウルス応援団<>sage<>2007/12/31(月) 14:29:35<><a href="/bbs/read.cgi/auto/5394/1198948149/18" target="_blank">&gt;&gt;18</a><br>激しくスレ違いだが喪中だそうです<><>.UEjw8eY0
20<>ザウルス応援団<>sage<>2008/01/01(火) 00:00:59<>あけましておめでとう<br>ことしも安全運転で色んなところ行って見せてくだしゃい！<><>BcEjtkck0
