1<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2008/05/03(土) 12:56:04<>流石に、母上様に振り回されながらvipはムリがあるので<br>こちらでひっそりと<br><br><br><br>ひたすら写真をUPします。<br>レスを返す余裕は無いと思われます。<br>合流希望者は僕の古くから友人を装って観光案内をして頂くのが条件となります。<br>我こそはと言う方は写真をヒントに追っかけて下さい。<>【したらば出張版】そうだ、京都へ行こう 17th maman【特別編】<>zGz23iWYO
2<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2008/05/03(土) 14:46:00<>母上発見<br>ttp://imepita.jp/20080503/529010<><>zGz23iWYO
3<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2008/05/03(土) 15:28:34<>本日のお宿に着きました<br>ttp://imepita.jp/20080503/553380<><>zGz23iWYO
4<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2008/05/03(土) 16:27:38<>出禁だケド、来ました。<br>ttp://imepita.jp/20080503/588120<><>zGz23iWYO
5<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2008/05/03(土) 17:56:50<>母上様が帽子をご所望されております。<><>zGz23iWYO
6<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2008/05/03(土) 17:58:04<>四条に行けば何かあるかな？<><>zGz23iWYO
7<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2008/05/03(土) 18:01:44<>せっかくだから錦を通って行こう<><>zGz23iWYO
8<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2008/05/03(土) 18:40:05<>高島屋でお買い物<><>zGz23iWYO
9<>以下名無しにかわってVIPがお送りします <><>2008/05/03(土) 19:14:36<>案内頑張ってくだしあ<><>ljiaI4RsO
10<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2008/05/03(土) 19:19:30<>夕飯どうするかな・・・？<br>個人的には鰻が食べたいのだが・・・<><>zGz23iWYO
11<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2008/05/03(土) 19:20:45<>&gt;9<br>がんばる<><>zGz23iWYO
12<>以下名無しにかわってVIPがお送りします <><>2008/05/03(土) 19:23:20<>ヒントじゃなくてほぼ答えばかりな件<br><br>川床いくのか？<><>n4EEBeUYO
