1<>以下名無しにかわってVIPがお送りします <><>2008/01/17(木) 12:19:13<><a href="/bbs/read.cgi/computer/30117/1200539953/2-5" target="_blank">&gt;&gt;2-5</a>にテンプレ<>【本スレ】京都VIPPER Part2【inしたらば】<>mibzYnAwO
2<>以下名無しにかわってVIPがお送りします <><>2008/01/17(木) 12:20:13<>Part3だった<br>これは酷い<><>mibzYnAwO
3<>以下名無しにかわってVIPがお送りします <><>2008/01/17(木) 12:53:41<>削除依頼だしとけｸｽﾞ<><>RQ.t8XCA0
4<>以下名無しにかわってVIPがお送りします <><>2008/01/17(木) 18:49:54<>もうこれでよくね？<><>iHQYynyI0
5<>以下名無しにかわってVIPがお送りします <><>2008/01/17(木) 20:12:32<>ま、まあ<a href="/bbs/read.cgi/computer/30117/1200539953/4" target="_blank">&gt;&gt;4</a>がそう言うなら…<><>RQ.t8XCA0
6<>以下名無しにかわってVIPがお送りします <><>2008/01/18(金) 00:48:44<>今ひどいツンデレを見た<><>GeibNu1A0
7<>以下名無しにかわってVIPがお送りします <><>2008/01/18(金) 00:50:15<>あと俺のIDがゲイ美乳(*´ω`)<><>GeibNu1A0
8<>以下名無しにかわってVIPがお送りします <><>2008/01/18(金) 01:35:13<>前<a href="/bbs/read.cgi/computer/30117/1200539953/1000" target="_blank">&gt;&gt;1000</a>は実現性の薄い悲願(´；ω；)<><>ccLYmeK.O
9<>以下名無しにかわってVIPがお送りします <><>2008/01/18(金) 01:36:19<>あと俺のIDがノックアウト('A`)<br>テラマサトメｗｗｗｗｗｗｗｗｗ<><>ccLYmeK.O
10<>以下名無しにかわってVIPがお送りします <><>2008/01/18(金) 02:42:51<>(´;ω;｀)戻りたいよ<><>n/hPHEfUC
11<>以下名無しにかわってVIPがお送りします <><>2008/01/18(金) 02:47:49<><a href="/bbs/read.cgi/computer/30117/1200539953/2-5" target="_blank">&gt;&gt;2-5</a>はテンプレなんだろ？<><>YmrvYW520
12<>以下名無しにかわってVIPがお送りします <><>2008/01/18(金) 20:08:21<>ここに福知山に住んでるヤシいる？<><>Zk.Rh8eI0
13<>以下名無しにかわってVIPがお送りします <><>2008/01/18(金) 22:03:21<>ヤシとか使う人まだいたんだ…<><>YmrvYW520
14<>以下名無しにかわってVIPがお送りします <><>2008/01/18(金) 23:19:38<>そんな事言われても、うち京田辺市民ヤシ・・・<><>YPec9fow0
15<>以下名無しにかわってVIPがお送りします <><>2008/01/18(金) 23:24:58<>俺は左京区だが、たしか岩倉に大量のVIPPERがいるはずだ<br>どっかのスレで松ヶ崎のVIPPERも同時に複数見た事もあり<br>VIPPER密集地こええよｗｗｗ<><>EIW3k9n60
16<>以下名無しにかわってVIPがお送りします <><>2008/01/19(土) 16:56:20<>そんなん言われてもウチ、ポンデライオンやし…（AA略<><>mGqdMGHQ0
17<>以下名無しにかわってVIPがお送りします <><>2008/01/19(土) 22:32:23<>今日電車で女の人を酔っ払いから救ったんだが…<><>feJKTpA.0
18<>以下名無しにかわってVIPがお送りします <><>2008/01/20(日) 01:18:48<><a href="/bbs/read.cgi/computer/30117/1200539953/17" target="_blank">&gt;&gt;17</a><br>めしどこかたのむ<><>070D6KKo0
19<>以下名無しにかわってVIPがお送りします <><>2008/01/20(日) 10:55:57<>後の「おけいはん男」である<><>oowIILOY0
20<>以下名無しにかわってVIPがお送りします <><>2008/01/20(日) 18:04:13<>電車に乗ってたら周囲の人の目線が痛いんだがなんなんだ<><>QlESOtNAO
21<>以下名無しにかわってVIPがお送りします <><>2008/01/20(日) 18:51:36<><a href="/bbs/read.cgi/computer/30117/1200539953/20" target="_blank">&gt;&gt;20</a><br>周囲の人の目からビームでも出てんじゃね？<><>070D6KKo0
22<>以下名無しにかわってVIPがお送りします <><>2008/01/21(月) 01:37:43<><a href="/bbs/read.cgi/computer/30117/1200539953/20" target="_blank">&gt;&gt;20</a><br>ラブ光S(ry<><>AU0I2YEMC
23<>以下名無しにかわってVIPがお送りします <><>2008/01/21(月) 02:59:27<><a href="/bbs/read.cgi/computer/30117/1200539953/22" target="_blank">&gt;&gt;22</a>から悲惨なオーラが漂ってる。<><>OvOn5XXIO
24<>以下名無しにかわってVIPがお送りします <><>2008/01/22(火) 01:33:35<>今から舞鶴行かないか？<><>lEQoW1jgO
25<>以下名無しにかわってVIPがお送りします <><>2008/01/22(火) 03:15:41<><a href="/bbs/read.cgi/computer/30117/1200539953/24" target="_blank">&gt;&gt;24</a><br>こんな夜中に何だが…<br>kwsk<><>rhyUQA9gC
26<>以下名無しにかわってVIPがお送りします <><>2008/01/22(火) 05:52:46<>「おし舞鶴(・∀・)」ってギャグ流行らせてくるわノシ<><>zIfbgSTUO
27<>以下名無しにかわってVIPがお送りします <>sage<>2008/01/23(水) 00:12:21<>「おしマイケル」じゃないか<><>gcAPnoDc0
28<>以下名無しにかわってVIPがお送りします <>sage<>2008/01/23(水) 16:54:37<><a href="/bbs/read.cgi/computer/30117/1200539953/27" target="_blank">&gt;&gt;27</a><br>それを言ったら『おし舞鶴(・∀・)』<><>.ZRJF1xw0
29<>以下名無しにかわってVIPがお送りします <><>2008/01/23(水) 19:56:40<>舞鶴で幼女ナンパしてたら警察に注意された<><>trXNRl/gO
30<>以下名無しにかわってVIPがお送りします <>sage<>2008/01/24(木) 01:24:59<><a href="/bbs/read.cgi/computer/30117/1200539953/29" target="_blank">&gt;&gt;29</a><br>ネタでもつまんね<><>54aQcpEY0
31<>以下名無しにかわってVIPがお送りします <><>2008/01/24(木) 02:03:54<><a href="/bbs/read.cgi/computer/30117/1200539953/29" target="_blank">&gt;&gt;29</a><br>事実なら『おしm(ｒｙ<><>eaoApROYC
